Number,Name,Population,Density,Land_area
1,China,1439323776,153,9388211
2,India,1380004385,464,2973190
3,United States,331002651,36,9147420
4,Indonesia,273523615,151,1811570
5,Pakistan,220892340,287,770880
6,Brazil,212559417,25,8358140
7,Nigeria,206139589,226,910770
8,Bangladesh,164689383,1265,130170
9,Russia,145934462,9,16376870
10,Mexico,128932753,66,1943950
11,Japan,126476461,347,364555
12,Ethiopia,114963588,115,1000000
13,Philippines,109581078,368,298170
14,Egypt,102334404,103,995450
15,Vietnam,97338579,314,310070
16,DR Congo,89561403,40,2267050
17,Turkey,84339067,110,769630
18,Iran,83992949,52,1628550
19,Germany,83783942,240,348560
20,Thailand,69799978,137,510890
21,United Kingdom,67886011,281,241930
22,France,65273511,119,547557
23,Italy,60461826,206,294140
24,Tanzania,59734218,67,885800
25,South Africa,59308690,49,1213090
26,Myanmar,54409800,83,653290
27,Kenya,53771296,94,569140
28,South Korea,51269185,527,97230
29,Colombia,50882891,46,1109500
30,Spain,46754778,94,498800
31,Uganda,45741007,229,199810
32,Argentina,45195774,17,2736690
33,Algeria,43851044,18,2381740
34,Sudan,43849260,25,1765048
35,Ukraine,43733762,75,579320
36,Iraq,40222493,93,434320
37,Afghanistan,38928346,60,652860
38,Poland,37846611,124,306230
39,Canada,37742154,4,9093510
40,Morocco,36910560,83,446300
41,Saudi Arabia,34813871,16,2149690
42,Uzbekistan,33469203,79,425400
43,Peru,32971854,26,1280000
44,Angola,32866272,26,1246700
45,Malaysia,32365999,99,328550
46,Mozambique,31255435,40,786380
47,Ghana,31072940,137,227540
48,Yemen,29825964,56,527970
49,Nepal,29136808,203,143350
50,Venezuela,28435940,32,882050
51,Madagascar,27691018,48,581795
52,Cameroon,26545863,56,472710
53,Côte d'Ivoire,26378274,83,318000
54,North Korea,25778816,214,120410
55,Australia,25499884,3,7682300
56,Niger,24206644,19,1266700
57,Taiwan,23816775,673,35410
58,Sri Lanka,21413249,341,62710
59,Burkina Faso,20903273,76,273600
60,Mali,20250833,17,1220190
61,Romania,19237691,84,230170
62,Malawi,19129952,203,94280
63,Chile,19116201,26,743532
64,Kazakhstan,18776707,7,2699700
65,Zambia,18383955,25,743390
66,Guatemala,17915568,167,107160
67,Ecuador,17643054,71,248360
68,Syria,17500658,95,183630
69,Netherlands,17134872,508,33720
70,Senegal,16743927,87,192530
71,Cambodia,16718965,95,176520
72,Chad,16425864,13,1259200
73,Somalia,15893222,25,627340
74,Zimbabwe,14862924,38,386850
75,Guinea,13132795,53,245720
76,Rwanda,12952218,525,24670
77,Benin,12123200,108,112760
78,Burundi,11890784,463,25680
79,Tunisia,11818619,76,155360
80,Bolivia,11673021,11,1083300
81,Belgium,11589623,383,30280
82,Haiti,11402528,414,27560
83,Cuba,11326616,106,106440
84,South Sudan,11193725,18,610952
85,Dominican Republic,10847910,225,48320
86,Czech Republic (Czechia),10708981,139,77240
87,Greece,10423054,81,128900
88,Jordan,10203134,115,88780
89,Portugal,10196709,111,91590
90,Azerbaijan,10139177,123,82658
91,Sweden,10099265,25,410340
92,Honduras,9904607,89,111890
93,United Arab Emirates,9890402,118,83600
94,Hungary,9660351,107,90530
95,Tajikistan,9537645,68,139960
96,Belarus,9449323,47,202910
97,Austria,9006398,109,82409
98,Papua New Guinea,8947024,20,452860
99,Serbia,8737371,100,87460
100,Israel,8655535,400,21640
