Number,Name,Population,Density,Land_area
55,Australia,25499884,3,7682300
39,Canada,37742154,4,9093510
64,Kazakhstan,18776707,7,2699700
9,Russia,145934462,9,16376870
80,Bolivia,11673021,11,1083300
72,Chad,16425864,13,1259200
41,Saudi Arabia,34813871,16,2149690
32,Argentina,45195774,17,2736690
60,Mali,20250833,17,1220190
33,Algeria,43851044,18,2381740
84,South Sudan,11193725,18,610952
56,Niger,24206644,19,1266700
98,Papua New Guinea,8947024,20,452860
6,Brazil,212559417,25,8358140
34,Sudan,43849260,25,1765048
65,Zambia,18383955,25,743390
73,Somalia,15893222,25,627340
91,Sweden,10099265,25,410340
43,Peru,32971854,26,1280000
44,Angola,32866272,26,1246700
63,Chile,19116201,26,743532
50,Venezuela,28435940,32,882050
3,United States,331002651,36,9147420
74,Zimbabwe,14862924,38,386850
16,DR Congo,89561403,40,2267050
46,Mozambique,31255435,40,786380
29,Colombia,50882891,46,1109500
96,Belarus,9449323,47,202910
51,Madagascar,27691018,48,581795
25,South Africa,59308690,49,1213090
18,Iran,83992949,52,1628550
75,Guinea,13132795,53,245720
48,Yemen,29825964,56,527970
52,Cameroon,26545863,56,472710
37,Afghanistan,38928346,60,652860
10,Mexico,128932753,66,1943950
24,Tanzania,59734218,67,885800
95,Tajikistan,9537645,68,139960
67,Ecuador,17643054,71,248360
35,Ukraine,43733762,75,579320
59,Burkina Faso,20903273,76,273600
79,Tunisia,11818619,76,155360
42,Uzbekistan,33469203,79,425400
87,Greece,10423054,81,128900
26,Myanmar,54409800,83,653290
40,Morocco,36910560,83,446300
53,CГґte d'Ivoire,26378274,83,318000
61,Romania,19237691,84,230170
70,Senegal,16743927,87,192530
92,Honduras,9904607,89,111890
36,Iraq,40222493,93,434320
27,Kenya,53771296,94,569140
30,Spain,46754778,94,498800
68,Syria,17500658,95,183630
71,Cambodia,16718965,95,176520
45,Malaysia,32365999,99,328550
99,Serbia,8737371,100,87460
14,Egypt,102334404,103,995450
83,Cuba,11326616,106,106440
94,Hungary,9660351,107,90530
77,Benin,12123200,108,112760
97,Austria,9006398,109,82409
17,Turkey,84339067,110,769630
89,Portugal,10196709,111,91590
12,Ethiopia,114963588,115,1000000
88,Jordan,10203134,115,88780
93,United Arab Emirates,9890402,118,83600
22,France,65273511,119,547557
90,Azerbaijan,10139177,123,82658
38,Poland,37846611,124,306230
20,Thailand,69799978,137,510890
47,Ghana,31072940,137,227540
86,Czech Republic (Czechia),10708981,139,77240
4,Indonesia,273523615,151,1811570
1,China,1439323776,153,9388211
66,Guatemala,17915568,167,107160
49,Nepal,29136808,203,143350
62,Malawi,19129952,203,94280
23,Italy,60461826,206,294140
54,North Korea,25778816,214,120410
85,Dominican Republic,10847910,225,48320
7,Nigeria,206139589,226,910770
31,Uganda,45741007,229,199810
19,Germany,83783942,240,348560
21,United Kingdom,67886011,281,241930
5,Pakistan,220892340,287,770880
15,Vietnam,97338579,314,310070
58,Sri Lanka,21413249,341,62710
11,Japan,126476461,347,364555
13,Philippines,109581078,368,298170
81,Belgium,11589623,383,30280
100,Israel,8655535,400,21640
82,Haiti,11402528,414,27560
78,Burundi,11890784,463,25680
2,India,1380004385,464,2973190
69,Netherlands,17134872,508,33720
76,Rwanda,12952218,525,24670
28,South Korea,51269185,527,97230
57,Taiwan,23816775,673,35410
8,Bangladesh,164689383,1265,130170
